subject,psg,psg_bytes,hyp,hyp_bytes
SC4371,SC4371F0-PSG.edf,51986048,SC4371FA-Hypnogram.edf,3286
SC4381,SC4381F0-PSG.edf,50162048,SC4381FC-Hypnogram.edf,2408
SC4401,SC4401E0-PSG.edf,47973248,SC4401EC-Hypnogram.edf,2992
SC4411,SC4411E0-PSG.edf,49760768,SC4411EJ-Hypnogram.edf,5284
SC4421,SC4421E0-PSG.edf,50417408,SC4421EA-Hypnogram.edf,3894
SC4431,SC4431E0-PSG.edf,51256448,SC4431EM-Hypnogram.edf,3454
SC4441,SC4441E0-PSG.edf,47790848,SC4441EC-Hypnogram.edf,4160
SC4451,SC4451F0-PSG.edf,50891648,SC4451FY-Hypnogram.edf,6224
SC4461,SC4461F0-PSG.edf,49177088,SC4461FA-Hypnogram.edf,3152
SC4471,SC4471F0-PSG.edf,49979648,SC4471FA-Hypnogram.edf,7088
SC4481,SC4481F0-PSG.edf,52533248,SC4481FV-Hypnogram.edf,6328
SC4491,SC4491G0-PSG.edf,51074048,SC4491GJ-Hypnogram.edf,4490
SC4501,SC4501E0-PSG.edf,50162048,SC4501EW-Hypnogram.edf,2794
SC4511,SC4511E0-PSG.edf,49468928,SC4511EJ-Hypnogram.edf,3080
SC4531,SC4531E0-PSG.edf,47462528,SC4531EM-Hypnogram.edf,6002
SC4541,SC4541F0-PSG.edf,49979648,SC4541FA-Hypnogram.edf,5370
SC4551,SC4551F0-PSG.edf,50563328,SC4551FC-Hypnogram.edf,3490
SC4561,SC4561F0-PSG.edf,49323008,SC4561FJ-Hypnogram.edf,5528
SC4571,SC4571F0-PSG.edf,51986048,SC4571FV-Hypnogram.edf,6188
SC4581,SC4581G0-PSG.edf,49943168,SC4581GM-Hypnogram.edf,4842
SC4591,SC4591G0-PSG.edf,51438848,SC4591GY-Hypnogram.edf,5742
SC4601,SC4601E0-PSG.edf,49797248,SC4601EC-Hypnogram.edf,5942
SC4611,SC4611E0-PSG.edf,48338048,SC4611EG-Hypnogram.edf,7236
SC4621,SC4621E0-PSG.edf,47644928,SC4621EV-Hypnogram.edf,5608
SC4631,SC4631E0-PSG.edf,50307968,SC4631EM-Hypnogram.edf,4734
SC4641,SC4641E0-PSG.edf,48885248,SC4641EP-Hypnogram.edf,2896
SC4651,SC4651E0-PSG.edf,52168448,SC4651EP-Hypnogram.edf,7194
SC4661,SC4661E0-PSG.edf,49979648,SC4661EJ-Hypnogram.edf,6076
SC4671,SC4671G0-PSG.edf,50709248,SC4671GJ-Hypnogram.edf,6636
SC4701,SC4701E0-PSG.edf,48885248,SC4701EC-Hypnogram.edf,3454
SC4711,SC4711E0-PSG.edf,49797248,SC4711EC-Hypnogram.edf,3962
SC4721,SC4721E0-PSG.edf,42720128,SC4721EC-Hypnogram.edf,2604
SC4731,SC4731E0-PSG.edf,50709248,SC4731EM-Hypnogram.edf,4082
SC4741,SC4741E0-PSG.edf,49067648,SC4741EA-Hypnogram.edf,2974
SC4751,SC4751E0-PSG.edf,48885248,SC4751EC-Hypnogram.edf,2096
SC4761,SC4761E0-PSG.edf,47973248,SC4761EP-Hypnogram.edf,4180
SC4771,SC4771G0-PSG.edf,50271488,SC4771GC-Hypnogram.edf,4162
