x,y,subject,stage
18.299,69.538,SC4031,W
16.441,69.677,SC4031,W
16.579,69.9,SC4031,W
18.129,70.204,SC4031,W
17.014,70.094,SC4031,W
17.752,67.995,SC4031,W
18.203,69.445,SC4031,W
19.567,69.184,SC4031,W
18.733,69.005,SC4031,W
19.044,67.781,SC4031,W
18.558,67.624,SC4031,W
19.776,68.553,SC4031,W
18.971,68.129,SC4031,W
18.825,69.675,SC4031,W
17.107,70.167,SC4031,W
17.183,69.532,SC4031,W
18.102,70.668,SC4031,W
16.321,70.044,SC4031,W
16.776,70.785,SC4031,W
17.499,70.738,SC4031,W
19.32,67.556,SC4031,W
34.218,-39.125,SC4031,W
18.945,68.991,SC4031,W
18.783,67.452,SC4031,W
17.791,68.188,SC4031,W
19.797,69.06,SC4031,W
17.487,69.383,SC4031,W
17.414,69.219,SC4031,W
18.071,70.468,SC4031,W
17.251,70.553,SC4031,W
18.725,68.656,SC4031,W
19.383,69.109,SC4031,W
17.049,70.549,SC4031,W
17.467,69.945,SC4031,W
16.044,71.006,SC4031,W
31.987,59.615,SC4031,N1
35.692,61.863,SC4031,N1
35.868,60.905,SC4031,N1
35.894,62.917,SC4031,N1
36.449,60.651,SC4031,N1
32.875,61.282,SC4031,N1
33.482,64.438,SC4031,N1
35.267,61.766,SC4031,N1
31.436,61.213,SC4031,N1
33.191,59.616,SC4031,N1
33.257,59.284,SC4031,N1
32.795,58.54,SC4031,N1
32.907,65.81,SC4031,N1
30.77,59.77,SC4031,N1
33.57,61.581,SC4031,N1
41.321,65.821,SC4031,N1
32.795,65.665,SC4031,N1
32.864,65.834,SC4031,N1
36.568,62.067,SC4031,N1
36.436,60.511,SC4031,N1
33.337,57.442,SC4031,N1
35.909,62.439,SC4031,N1
34.434,60.731,SC4031,N1
32.497,62.855,SC4031,N1
33.844,65.254,SC4031,N1
34.431,63.894,SC4031,N1
34.324,65.062,SC4031,N1
36.157,60.727,SC4031,N1
37.219,61.668,SC4031,N1
35.3,63.141,SC4031,N1
32.931,62.899,SC4031,N1
33.008,58.276,SC4031,N1
34.633,63.875,SC4031,N1
33.765,65.196,SC4031,N1
33.266,64.949,SC4031,N1
35.752,62.56,SC4031,N1
43.729,60.421,SC4031,N1
33.135,58.03,SC4031,N1
36.459,64.48,SC4031,N1
36.732,62.76,SC4031,N1
40.197,65.08,SC4031,N2
39.067,65.525,SC4031,N2
38.972,65.405,SC4031,N2
40.42,66.935,SC4031,N2
39.454,66.366,SC4031,N2
40.21,65.319,SC4031,N2
40.606,66.993,SC4031,N2
42.513,64.485,SC4031,N2
40.275,65.295,SC4031,N2
36.064,62.802,SC4031,N2
41.219,64.392,SC4031,N2
40.682,63.507,SC4031,N2
41.112,64.656,SC4031,N2
40.172,65.392,SC4031,N2
40.513,64.562,SC4031,N2
39.715,66.422,SC4031,N2
36.624,64.41,SC4031,N2
46.862,63.819,SC4031,N2
40.779,65.069,SC4031,N2
40.001,65.892,SC4031,N2
40.791,66.678,SC4031,N2
40.65,64.602,SC4031,N2
39.641,65.0,SC4031,N2
39.701,63.888,SC4031,N2
40.163,66.318,SC4031,N2
42.195,63.786,SC4031,N2
34.321,64.921,SC4031,N2
41.397,63.881,SC4031,N2
42.222,63.563,SC4031,N2
41.629,65.296,SC4031,N2
40.286,65.586,SC4031,N2
41.055,64.982,SC4031,N2
39.357,66.407,SC4031,N2
37.813,64.853,SC4031,N2
39.897,63.58,SC4031,N2
41.671,63.872,SC4031,N2
39.419,65.421,SC4031,N2
40.285,66.118,SC4031,N2
36.845,62.86,SC4031,N2
37.627,62.264,SC4031,N2
46.853,62.894,SC4031,N3
46.684,61.834,SC4031,N3
44.923,62.481,SC4031,N3
44.124,63.61,SC4031,N3
44.346,62.647,SC4031,N3
44.767,63.165,SC4031,N3
45.511,61.987,SC4031,N3
45.045,60.624,SC4031,N3
43.276,63.813,SC4031,N3
46.409,61.346,SC4031,N3
44.982,62.209,SC4031,N3
46.437,63.816,SC4031,N3
43.486,63.732,SC4031,N3
46.702,61.553,SC4031,N3
45.514,62.766,SC4031,N3
43.071,60.973,SC4031,N3
44.895,62.581,SC4031,N3
47.227,61.678,SC4031,N3
45.144,61.251,SC4031,N3
45.755,62.297,SC4031,N3
46.864,63.671,SC4031,N3
46.725,62.482,SC4031,N3
45.751,61.73,SC4031,N3
46.726,62.628,SC4031,N3
45.907,62.624,SC4031,N3
45.238,61.646,SC4031,N3
44.827,63.067,SC4031,N3
45.256,63.906,SC4031,N3
47.0,62.749,SC4031,N3
45.449,63.487,SC4031,N3
46.371,63.54,SC4031,N3
42.932,61.038,SC4031,N3
44.929,60.458,SC4031,N3
46.103,62.673,SC4031,N3
46.115,62.177,SC4031,N3
46.532,63.42,SC4031,N3
44.37,61.929,SC4031,N3
45.816,63.162,SC4031,N3
45.735,62.59,SC4031,N3
44.853,61.739,SC4031,N3
34.916,62.602,SC4031,REM
30.591,62.333,SC4031,REM
33.942,62.647,SC4031,REM
30.989,61.636,SC4031,REM
31.066,60.444,SC4031,REM
33.331,60.805,SC4031,REM
31.875,60.567,SC4031,REM
34.056,61.041,SC4031,REM
31.634,60.258,SC4031,REM
34.224,63.157,SC4031,REM
31.789,61.395,SC4031,REM
33.534,60.192,SC4031,REM
32.056,59.93,SC4031,REM
31.326,59.88,SC4031,REM
31.693,62.781,SC4031,REM
33.25,62.355,SC4031,REM
31.69,62.06,SC4031,REM
34.456,61.748,SC4031,REM
32.578,60.827,SC4031,REM
30.822,62.298,SC4031,REM
30.482,62.216,SC4031,REM
31.963,62.25,SC4031,REM
32.481,60.77,SC4031,REM
31.187,62.102,SC4031,REM
31.242,61.166,SC4031,REM
31.604,59.549,SC4031,REM
30.774,62.45,SC4031,REM
33.405,57.203,SC4031,REM
30.296,61.204,SC4031,REM
32.889,59.644,SC4031,REM
33.208,61.367,SC4031,REM
33.172,62.208,SC4031,REM
31.684,62.007,SC4031,REM
31.649,60.904,SC4031,REM
32.301,61.77,SC4031,REM
33.341,57.357,SC4031,REM
34.708,59.781,SC4031,REM
32.519,61.767,SC4031,REM
31.717,60.772,SC4031,REM
33.682,61.766,SC4031,REM
-9.076,-15.868,SC4061,W
-7.181,-14.882,SC4061,W
-8.032,-14.505,SC4061,W
-6.909,-15.802,SC4061,W
-8.108,-16.113,SC4061,W
-8.552,-16.603,SC4061,W
0.938,-12.582,SC4061,W
-5.248,-16.177,SC4061,W
-8.517,-16.547,SC4061,W
-7.422,-15.262,SC4061,W
-9.332,-14.938,SC4061,W
-7.519,-15.046,SC4061,W
-9.399,-13.042,SC4061,W
-7.918,-15.495,SC4061,W
-6.35,-14.284,SC4061,W
-7.792,-13.866,SC4061,W
-8.745,-16.337,SC4061,W
-9.272,-15.214,SC4061,W
-8.714,-16.435,SC4061,W
-7.764,-13.045,SC4061,W
-9.173,-12.805,SC4061,W
-7.921,-15.389,SC4061,W
-8.666,-15.02,SC4061,W
-8.711,-15.135,SC4061,W
-8.545,-15.469,SC4061,W
-9.099,-15.856,SC4061,W
-7.367,-14.793,SC4061,W
-8.374,-15.118,SC4061,W
-8.456,-14.439,SC4061,W
-7.725,-13.944,SC4061,W
-9.294,-12.87,SC4061,W
-6.21,-15.865,SC4061,W
-7.919,-15.08,SC4061,W
-6.657,-14.962,SC4061,W
-8.463,-14.645,SC4061,W
-6.616,-15.683,SC4061,W
-9.362,-13.144,SC4061,W
-8.162,-14.7,SC4061,W
-6.712,-15.881,SC4061,W
-7.914,-14.811,SC4061,W
-21.55,-52.538,SC4061,N1
-22.014,-56.258,SC4061,N1
-19.308,-51.448,SC4061,N1
-20.86,-51.282,SC4061,N1
-21.894,-49.797,SC4061,N1
-20.209,-51.485,SC4061,N1
-23.005,-51.592,SC4061,N1
-23.852,-49.553,SC4061,N1
-23.269,-51.819,SC4061,N1
-21.73,-50.932,SC4061,N1
-23.181,-52.167,SC4061,N1
-19.54,-51.922,SC4061,N1
-21.908,-51.391,SC4061,N1
-23.215,-51.526,SC4061,N1
-22.133,-49.572,SC4061,N1
-21.229,-51.219,SC4061,N1
-23.618,-52.259,SC4061,N1
-22.684,-53.151,SC4061,N1
-23.597,-48.981,SC4061,N1
-20.258,-54.127,SC4061,N1
-19.604,-57.099,SC4061,N1
-23.568,-49.395,SC4061,N1
-23.973,-49.382,SC4061,N1
-23.742,-49.049,SC4061,N1
-19.398,-51.768,SC4061,N1
-22.74,-53.658,SC4061,N1
-21.711,-56.11,SC4061,N1
-23.624,-49.082,SC4061,N1
-23.631,-52.088,SC4061,N1
-21.047,-51.067,SC4061,N1
-23.96,-49.287,SC4061,N1
-19.6,-51.592,SC4061,N1
-20.297,-51.07,SC4061,N1
-19.468,-51.594,SC4061,N1
-24.038,-49.456,SC4061,N1
-16.448,-55.923,SC4061,N1
-19.824,-52.99,SC4061,N1
-19.412,-51.593,SC4061,N1
-22.244,-52.48,SC4061,N1
-24.132,-49.142,SC4061,N1
-15.575,-61.174,SC4061,N2
-15.971,-61.806,SC4061,N2
-17.148,-59.708,SC4061,N2
-17.794,-51.915,SC4061,N2
-15.952,-57.631,SC4061,N2
-15.191,-61.065,SC4061,N2
-15.119,-61.143,SC4061,N2
-16.63,-59.919,SC4061,N2
-21.93,-53.958,SC4061,N2
-15.643,-61.022,SC4061,N2
-16.206,-58.687,SC4061,N2
-16.035,-57.071,SC4061,N2
-16.039,-62.791,SC4061,N2
-17.373,-56.945,SC4061,N2
-16.306,-58.67,SC4061,N2
-15.398,-61.116,SC4061,N2
-18.573,-61.828,SC4061,N2
-16.853,-59.518,SC4061,N2
-16.735,-59.848,SC4061,N2
-16.444,-61.442,SC4061,N2
-15.924,-63.146,SC4061,N2
-22.513,-56.986,SC4061,N2
-18.273,-61.707,SC4061,N2
-16.693,-59.482,SC4061,N2
-17.672,-60.514,SC4061,N2
-21.307,-55.164,SC4061,N2
-16.94,-60.421,SC4061,N2
-19.889,-54.963,SC4061,N2
-16.476,-57.338,SC4061,N2
-17.24,-59.143,SC4061,N2
-16.533,-61.31,SC4061,N2
-16.006,-62.93,SC4061,N2
-22.664,-53.247,SC4061,N2
-16.792,-60.843,SC4061,N2
-16.527,-62.165,SC4061,N2
-16.419,-61.385,SC4061,N2
-15.78,-60.623,SC4061,N2
-15.746,-61.249,SC4061,N2
-18.139,-59.179,SC4061,N2
-15.622,-58.766,SC4061,N2
-12.569,-67.579,SC4061,N3
-13.754,-68.81,SC4061,N3
-12.712,-67.819,SC4061,N3
-12.312,-67.719,SC4061,N3
-12.12,-69.172,SC4061,N3
-13.38,-69.527,SC4061,N3
-14.164,-68.681,SC4061,N3
-12.787,-69.897,SC4061,N3
-12.201,-68.221,SC4061,N3
-18.115,-58.774,SC4061,N3
-13.524,-69.338,SC4061,N3
-12.812,-68.772,SC4061,N3
-13.0,-70.037,SC4061,N3
-12.564,-69.567,SC4061,N3
-14.786,-68.985,SC4061,N3
-12.032,-69.751,SC4061,N3
-12.331,-67.4,SC4061,N3
-12.178,-68.36,SC4061,N3
-17.627,-59.825,SC4061,N3
-14.13,-69.325,SC4061,N3
-12.083,-69.307,SC4061,N3
-12.462,-68.311,SC4061,N3
-12.941,-68.065,SC4061,N3
-12.333,-69.603,SC4061,N3
-16.03,-63.031,SC4061,N3
-18.418,-60.217,SC4061,N3
-12.892,-69.445,SC4061,N3
-13.536,-69.518,SC4061,N3
-18.886,-60.185,SC4061,N3
-12.785,-68.717,SC4061,N3
-12.341,-68.914,SC4061,N3
-13.259,-69.026,SC4061,N3
-13.152,-69.874,SC4061,N3
-12.509,-68.961,SC4061,N3
-11.712,-69.329,SC4061,N3
-14.606,-69.262,SC4061,N3
-13.872,-67.427,SC4061,N3
-11.668,-69.479,SC4061,N3
-12.892,-69.737,SC4061,N3
-11.698,-69.088,SC4061,N3
-18.772,-55.283,SC4061,REM
-19.019,-56.069,SC4061,REM
-20.789,-55.343,SC4061,REM
-20.748,-56.348,SC4061,REM
-20.562,-55.653,SC4061,REM
-20.258,-56.587,SC4061,REM
-17.695,-56.544,SC4061,REM
-22.867,-53.823,SC4061,REM
-18.881,-54.952,SC4061,REM
-21.16,-55.225,SC4061,REM
-17.939,-54.807,SC4061,REM
-17.907,-57.01,SC4061,REM
-18.18,-54.905,SC4061,REM
-19.739,-57.106,SC4061,REM
-18.105,-56.53,SC4061,REM
-16.923,-55.83,SC4061,REM
-20.69,-56.702,SC4061,REM
-18.591,-54.904,SC4061,REM
-18.916,-55.904,SC4061,REM
-19.742,-55.386,SC4061,REM
-19.182,-55.716,SC4061,REM
-19.335,-56.991,SC4061,REM
-18.241,-57.633,SC4061,REM
-18.813,-55.961,SC4061,REM
-19.147,-55.482,SC4061,REM
-17.276,-55.868,SC4061,REM
-18.993,-54.545,SC4061,REM
-20.512,-56.558,SC4061,REM
-20.755,-55.613,SC4061,REM
-19.82,-55.375,SC4061,REM
-17.349,-56.679,SC4061,REM
-18.902,-56.876,SC4061,REM
-19.298,-54.579,SC4061,REM
-18.99,-55.211,SC4061,REM
-19.218,-55.943,SC4061,REM
-21.666,-55.566,SC4061,REM
-19.073,-54.969,SC4061,REM
-18.163,-58.276,SC4061,REM
-19.96,-54.782,SC4061,REM
-19.886,-55.465,SC4061,REM
52.024,31.93,SC4081,W
13.396,-14.673,SC4081,W
18.859,-20.027,SC4081,W
17.595,-18.294,SC4081,W
19.448,-22.031,SC4081,W
28.875,-38.095,SC4081,W
19.431,-21.356,SC4081,W
18.614,-21.766,SC4081,W
20.178,-21.064,SC4081,W
12.435,-23.372,SC4081,W
16.651,-18.874,SC4081,W
20.932,-23.353,SC4081,W
11.752,-20.55,SC4081,W
18.712,-18.106,SC4081,W
28.035,-36.72,SC4081,W
17.251,-18.318,SC4081,W
29.149,-38.774,SC4081,W
20.013,-20.654,SC4081,W
27.665,-36.34,SC4081,W
26.931,-35.482,SC4081,W
21.835,-23.263,SC4081,W
19.904,-20.512,SC4081,W
19.727,-20.584,SC4081,W
19.859,-19.904,SC4081,W
29.097,-38.586,SC4081,W
31.024,-38.215,SC4081,W
7.755,-16.593,SC4081,W
29.295,-39.176,SC4081,W
19.118,-21.384,SC4081,W
19.33,-21.416,SC4081,W
18.88,-21.661,SC4081,W
26.57,-34.82,SC4081,W
14.8,27.882,SC4081,W
18.316,-17.591,SC4081,W
14.148,28.457,SC4081,W
22.134,-22.924,SC4081,W
17.696,-19.301,SC4081,W
52.108,32.392,SC4081,W
19.749,-20.437,SC4081,W
17.911,-18.004,SC4081,W
24.936,-38.341,SC4081,N1
32.827,-38.522,SC4081,N1
32.169,-39.259,SC4081,N1
32.091,-39.233,SC4081,N1
25.0,-37.574,SC4081,N1
29.611,-40.599,SC4081,N1
29.512,-42.158,SC4081,N1
32.569,-38.95,SC4081,N1
24.6,-39.293,SC4081,N1
31.826,-39.084,SC4081,N1
29.633,-41.646,SC4081,N1
34.678,-36.907,SC4081,N1
33.385,-39.148,SC4081,N1
29.597,-40.562,SC4081,N1
27.608,-40.706,SC4081,N1
29.534,-41.917,SC4081,N1
31.834,-10.357,SC4081,N1
34.745,-36.668,SC4081,N1
25.261,-36.706,SC4081,N1
60.436,-19.011,SC4081,N1
26.972,-37.413,SC4081,N1
29.802,-40.547,SC4081,N1
29.128,-40.972,SC4081,N1
29.491,-42.159,SC4081,N1
32.502,-38.975,SC4081,N1
32.346,-39.303,SC4081,N1
32.022,-39.158,SC4081,N1
32.624,-38.567,SC4081,N1
27.33,-40.778,SC4081,N1
25.221,-37.475,SC4081,N1
29.903,-40.405,SC4081,N1
33.425,-38.582,SC4081,N1
26.074,-40.346,SC4081,N1
32.677,-38.522,SC4081,N1
34.827,-36.355,SC4081,N1
34.638,-36.942,SC4081,N1
29.352,-42.488,SC4081,N1
29.67,-40.693,SC4081,N1
32.664,-38.763,SC4081,N1
33.082,-38.771,SC4081,N1
19.308,-49.583,SC4081,N2
19.455,-50.133,SC4081,N2
19.321,-48.317,SC4081,N2
19.879,-46.746,SC4081,N2
23.504,-44.737,SC4081,N2
18.569,-49.398,SC4081,N2
18.849,-45.699,SC4081,N2
19.411,-48.655,SC4081,N2
23.29,-38.904,SC4081,N2
19.684,-48.062,SC4081,N2
21.138,-38.595,SC4081,N2
21.418,-42.828,SC4081,N2
17.715,-48.832,SC4081,N2
25.238,-37.718,SC4081,N2
17.45,-48.29,SC4081,N2
18.659,-44.384,SC4081,N2
19.4,-44.094,SC4081,N2
22.911,-41.77,SC4081,N2
18.256,-49.244,SC4081,N2
21.56,-43.107,SC4081,N2
20.225,-38.575,SC4081,N2
18.728,-47.368,SC4081,N2
21.276,-44.647,SC4081,N2
23.106,-38.076,SC4081,N2
17.864,-47.335,SC4081,N2
16.171,-46.193,SC4081,N2
18.909,-45.516,SC4081,N2
17.63,-47.11,SC4081,N2
19.817,-47.998,SC4081,N2
19.029,-48.849,SC4081,N2
18.266,-47.962,SC4081,N2
23.245,-42.703,SC4081,N2
29.036,-43.12,SC4081,N2
19.861,-46.165,SC4081,N2
19.748,-47.735,SC4081,N2
18.686,-48.709,SC4081,N2
19.391,-48.235,SC4081,N2
19.67,-47.76,SC4081,N2
20.374,-49.201,SC4081,N2
3.291,-46.443,SC4081,N2
18.768,-46.816,SC4081,N3
9.509,-50.219,SC4081,N3
23.134,-39.193,SC4081,N3
13.508,-48.834,SC4081,N3
10.801,-49.924,SC4081,N3
9.943,-50.137,SC4081,N3
26.953,-37.473,SC4081,N3
11.963,-49.227,SC4081,N3
11.427,-49.685,SC4081,N3
15.941,-49.27,SC4081,N3
10.2,-49.999,SC4081,N3
8.676,-50.434,SC4081,N3
19.308,-50.329,SC4081,N3
11.728,-49.351,SC4081,N3
10.42,-50.031,SC4081,N3
27.511,-36.801,SC4081,N3
17.296,-48.882,SC4081,N3
15.618,-48.971,SC4081,N3
13.597,-48.261,SC4081,N3
12.126,-49.168,SC4081,N3
10.688,-49.466,SC4081,N3
26.711,-41.684,SC4081,N3
9.664,-50.149,SC4081,N3
10.476,-50.981,SC4081,N3
17.35,-49.735,SC4081,N3
35.67,-19.983,SC4081,N3
15.133,-49.423,SC4081,N3
14.068,-48.744,SC4081,N3
9.617,-50.104,SC4081,N3
13.605,-48.957,SC4081,N3
13.555,-48.712,SC4081,N3
16.107,-48.255,SC4081,N3
10.68,-49.824,SC4081,N3
18.614,-49.879,SC4081,N3
17.634,-47.934,SC4081,N3
16.805,-48.015,SC4081,N3
17.608,-49.741,SC4081,N3
9.421,-50.479,SC4081,N3
9.631,-50.224,SC4081,N3
14.98,-48.198,SC4081,N3
23.134,-40.785,SC4081,REM
24.069,-39.74,SC4081,REM
24.9,-42.079,SC4081,REM
24.031,-42.6,SC4081,REM
21.684,-45.007,SC4081,REM
21.276,-38.792,SC4081,REM
24.194,-41.062,SC4081,REM
20.629,-49.327,SC4081,REM
22.502,-40.144,SC4081,REM
24.234,-41.348,SC4081,REM
24.169,-43.285,SC4081,REM
25.988,-40.613,SC4081,REM
23.819,-40.279,SC4081,REM
24.367,-40.091,SC4081,REM
23.41,-43.936,SC4081,REM
24.206,-41.441,SC4081,REM
3.656,-38.0,SC4081,REM
24.231,-41.289,SC4081,REM
23.416,-40.225,SC4081,REM
23.567,-44.173,SC4081,REM
24.421,-39.739,SC4081,REM
21.982,-40.142,SC4081,REM
24.937,-40.378,SC4081,REM
25.323,-36.08,SC4081,REM
23.273,-39.98,SC4081,REM
22.211,-44.745,SC4081,REM
24.696,-39.951,SC4081,REM
26.541,-40.84,SC4081,REM
25.051,-36.747,SC4081,REM
26.36,-38.896,SC4081,REM
23.165,-39.202,SC4081,REM
23.225,-44.32,SC4081,REM
23.436,-40.004,SC4081,REM
23.649,-41.21,SC4081,REM
25.261,-40.32,SC4081,REM
23.026,-40.928,SC4081,REM
21.895,-39.926,SC4081,REM
19.537,-48.074,SC4081,REM
25.167,-40.148,SC4081,REM
20.228,-48.329,SC4081,REM
-16.052,-1.915,SC4101,W
-26.191,7.655,SC4101,W
-18.576,0.356,SC4101,W
-11.412,13.085,SC4101,W
-17.754,-0.424,SC4101,W
-18.699,0.716,SC4101,W
38.607,-15.742,SC4101,W
-18.781,0.07,SC4101,W
-3.636,8.563,SC4101,W
-16.009,-1.424,SC4101,W
-18.335,-0.296,SC4101,W
-20.018,0.398,SC4101,W
-19.188,-2.098,SC4101,W
-28.716,6.817,SC4101,W
-15.978,-2.328,SC4101,W
-15.507,-2.895,SC4101,W
7.595,-43.483,SC4101,W
-17.568,-0.974,SC4101,W
-16.214,-1.005,SC4101,W
-20.218,0.978,SC4101,W
-18.257,0.478,SC4101,W
-16.275,-2.022,SC4101,W
-15.841,-2.513,SC4101,W
-28.459,6.441,SC4101,W
-17.405,-0.572,SC4101,W
-19.097,-2.061,SC4101,W
-16.664,-1.502,SC4101,W
